"","N2_CTR_1","N2_CTR_3","N2_CTR_4","N2_HS_1","N2_HS_3","N2_HS_4"
"WBGene00022643",152.142613215022,42.2158534139873,62.9688897600638,143.938066925396,201.651304930664,183.061639031887
"WBGene00022642",5245.85001349914,5225.76900211505,3922.26217772131,4017.92832531747,3022.90243224764,4089.09874168859
"WBGene00022641",45.0287554806793,101.733286096002,79.0609393654135,26.0459359198335,50.412826232666,53.0770432696003
"WBGene00022640",0,0,0.699654330667376,0,3.73428342464193,2.16640992937144
"WBGene00022639",0,0,0,15.079226058851,1.86714171232096,2.16640992937144
"WBGene00022638",0.682253870919383,2.07618951216331,2.09896299200213,0,0,0
"WBGene00005284",0,0,0,8.22503239573689,5.60142513696289,0
"WBGene00022637",0,0,0,4.11251619786844,0,1.08320496468572
"WBGene00022636",0,0,0,4.11251619786844,0,0
"WBGene00219773",0,3.46031585360552,1.39930866133475,10.9667098609825,0,0
"WBGene00022644",3328.03438234475,3756.51889067415,3363.93802184874,1414.70557206674,2388.07425005851,2546.61487197613
"WBGene00022645",6280.82913568384,6227.87647331921,5438.41311227751,6611.55520743984,9709.13690406902,11564.2962029847
"WBGene00021448",53.2158019317119,40.8317270725451,53.8733834613879,220.705035952273,154.97276212264,96.4052418570291
"WBGene00015259",7.50479258011321,1.38412634144221,2.09896299200213,6.85419366311407,20.5385588355306,15.1648695056001
"WBGene00015258",18.4208545148233,29.0666531702863,23.7882472426908,47.9793556417985,24.2728422601725,33.5793539052573
"WBGene00015257",0,0,0,32.9001295829476,0,2.16640992937144
"WBGene00015260",2.04676161275815,1.38412634144221,9.09550629867589,6.85419366311407,20.5385588355306,3.24961489405716
"WBGene00005256",0,0,1.39930866133475,2.74167746524563,0,1.08320496468572
"WBGene00005257",0,0,0,9.5958711283597,0,2.16640992937144
"WBGene00005258",0,0,0,5.48335493049126,1.86714171232096,6.49922978811432
"WBGene00019744",264.032248045801,380.634743896607,233.684546442904,411.251619786844,250.196989451009,277.300470959544
"WBGene00003713",15.6918390311458,23.5301478045175,16.791703936017,61.6877429680267,57.8813930819499,29.2465340465144
"WBGene00003688",34.1126935459692,51.2126746333617,40.5799511787078,150.79226058851,56.0142513696289,75.8243475280004
"WBGene00019743",87.328495477681,43.5999797554295,60.8699267680617,131.60051833179,115.7627861639,111.570111362629
"WBGene00019742",108.478365476182,78.8952014622058,59.470618106727,154.904776786378,61.6156765065918,74.7411425633147
"WBGene00019741",40.2529783842436,51.2126746333617,20.9896299200213,98.7003887488427,44.8114010957032,49.8274283755431
